[[20, 46.600000000000001, 0, nan], [((3, 3), 1.5707963267948966), [0, 0, 100], 60]]
[[85, 23.164705882352941, 0, nan], [((3, 3), 2.356194490192345), [0, 0, 100], 60]]
[[19, 45.05263157894737, 0, nan], [((3, 3), 3.141592653589793), [0, 0, 100], 60]]
[[87, 25.954022988505749, 0, nan], [((3, 3), 3.9269908169872414), [0, 0, 100], 60]]
[[29, 46.482758620689658, 0, nan], [((3, 3), 4.71238898038469), [0, 0, 100], 60]]
[[93, 24.225806451612904, 0, nan], [((3, 3), 5.497787143782138), [0, 0, 100], 60]]
[[30, 45.233333333333334, 0, nan], [((3, 4), 0.0), [0, 0, 100], 60]]
[[93, 18.612903225806452, 0, nan], [((3, 4), 0.7853981633974483), [0, 0, 100], 60]]
[[27, 46.370370370370374, 0, nan], [((3, 4), 1.5707963267948966), [0, 0, 100], 60]]
[[90, 21.522222222222222, 0, nan], [((3, 4), 2.356194490192345), [0, 0, 100], 60]]
[[30, 47.833333333333336, 0, nan], [((3, 4), 3.141592653589793), [0, 0, 100], 60]]
[[85, 24.517647058823531, 0, nan], [((3, 4), 3.9269908169872414), [0, 0, 100], 60]]
[[26, 46.92307692307692, 0, nan], [((3, 4), 4.71238898038469), [0, 0, 100], 60]]
[[92, 22.543478260869566, 0, nan], [((3, 4), 5.497787143782138), [0, 0, 100], 60]]
[[29, 45.448275862068968, 0, nan], [((3, 5), 0.0), [0, 0, 100], 60]]
[[95, 17.86315789473684, 0, nan], [((3, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[16, 45.0625, 0, nan], [((3, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[85, 21.08235294117647, 0, nan], [((3, 5), 2.356194490192345), [0, 0, 100], 60]]
[[27, 46.925925925925924, 0, nan], [((3, 5), 3.141592653589793), [0, 0, 100], 60]]
[[86, 24.186046511627907, 0, nan], [((3, 5), 3.9269908169872414), [0, 0, 100], 60]]
