AgentID	Genome	motor_NN_on	learning_on
Mouse_215	[ 0.72  0.52  0.36  0.44  0.65]	True	True
Mouse_216	[ 0.74  0.28  0.78  0.55  0.75]	True	True
Mouse_217	[ 0.06  0.64  0.47  0.37  0.71]	True	True
Mouse_218	[ 0.04  0.75  0.74  0.03  0.39]	True	True
Mouse_219	[ 0.53  0.93  0.17  0.44  0.32]	True	True
Mouse_22	[ 0.33  0.87  0.17  0.55  0.35]	False	False
Mouse_220	[ 0.57  0.3   0.92  0.5   0.52]	True	True
Mouse_221	[ 0.89  0.39  0.01  0.52  0.83]	True	True
Mouse_222	[ 0.49  0.54  0.22  0.87  0.75]	True	True
Mouse_223	[ 0.54  0.63  0.58  0.3   0.27]	True	True
Mouse_224	[ 0.4   0.18  0.6   0.49  0.91]	True	True
Mouse_225	[ 0.48  0.8   0.39  0.01  0.44]	True	True
Mouse_226	[ 0.05  0.78  0.49  0.63  0.55]	True	True
Mouse_227	[ 0.99  0.78  0.72  0.34  0.57]	True	True
Mouse_228	[ 0.22  0.96  0.02  0.55  0.85]	True	True
Mouse_229	[ 0.81  0.93  0.67  0.31  0.71]	True	True
Mouse_23	[ 0.37  0.8   0.63  0.62  0.79]	False	False
Mouse_230	[ 0.76  0.54  0.11  0.4   0.11]	True	True
Mouse_231	[ 0.12  0.63  0.85  0.07  0.66]	True	True
Mouse_232	[ 0.78  0.12  0.1   0.51  0.26]	True	True
Mouse_233	[ 0.61  0.48  0.21  0.31  0.58]	True	True
Mouse_234	[ 0.85  0.08  0.54  0.41  0.99]	True	True
Mouse_235	[ 0.02  0.79  0.5   0.82  0.63]	True	True
Mouse_236	[ 0.83  0.47  0.91  0.37  0.75]	True	True
Mouse_237	[ 0.78  0.71  0.83  0.97  0.36]	True	True
Mouse_238	[ 0.17  0.98  0.19  0.54  0.38]	True	True
Mouse_239	[ 0.86  0.49  0.8   0.8   0.38]	True	True
Mouse_24	[ 0.91  0.97  0.77  0.82  0.44]	False	False
Mouse_240	[ 0.38  0.14  0.94  0.87  0.18]	True	True
