[[68, 12.573529411764707, 31, 16.903225806451612], [((4, 5), 4.71238898038469), [0, 0, 100], 60]]
[[53, 13.660377358490566, 46, 24.173913043478262], [((4, 5), 5.497787143782138), [0, 0, 100], 60]]
[[52, 10.673076923076923, 48, 29.166666666666668], [((5, 5), 0.0), [0, 0, 100], 60]]
[[0, nan, 100, 3.9500000000000002], [((5, 5), 0.7853981633974483), [0, 0, 100], 60]]
[[57, 10.385964912280702, 43, 32.627906976744185], [((5, 5), 1.5707963267948966), [0, 0, 100], 60]]
[[55, 18.690909090909091, 44, 26.954545454545453], [((5, 5), 2.356194490192345), [0, 0, 100], 60]]
[[66, 5.7121212121212119, 34, 25.323529411764707], [((5, 5), 3.141592653589793), [0, 0, 100], 60]]
[[77, 5.0649350649350646, 23, 28.608695652173914], [((5, 5), 3.9269908169872414), [0, 0, 100], 60]]
[[64, 5.359375, 36, 24.638888888888889], [((5, 5), 4.71238898038469), [0, 0, 100], 60]]
[[56, 12.928571428571429, 44, 26.0], [((5, 5), 5.497787143782138), [0, 0, 100], 60]]
